Nome,Preço,Marca,Categoria
Empanado Big Chicken Perdigão Com Queijo KG,"R$ 32,99",Perdigão,Petiscos E Empanados
Filezinho de Frango Empanado 250g,"R$ 7,50",Leve Mais,Petiscos E Empanados
Pão de Queijo Forno de Minas Tradicional 400g,"R$ 19,90",Forno De Minas,Petiscos E Empanados
Nuggets Sadia Crocante 300g,"R$ 9,99",Sadia,Petiscos E Empanados
Steak de Frango Seara Tradicional 100g,"R$ 2,09",Seara,Petiscos E Empanados
Steak de Frango Perdigão 100g,"R$ 2,49",Perdigão,Petiscos E Empanados
Pão de Queijo Forno de Minas Coquetel 400g,"R$ 19,90",Forno De Minas,Petiscos E Empanados
Pão de Queijo Forno de Minas Waffle Air Fryer 200g,"R$ 16,99",Forno De Minas,Petiscos E Empanados
Pão de Queijo Uni Sabor Tradicional 400g,"R$ 7,59",Uni Sabor,Petiscos E Empanados
Nuggets Tekitos Seara Tradicional 300g,"R$ 9,29",Tekitos,Petiscos E Empanados
Steak de Frango Sadia 100g,"R$ 2,39",Sadia,Petiscos E Empanados
Waffle Forno de Minas Tradicional 280g,"R$ 18,99",Forno De Minas,Petiscos E Empanados
Nuggets Sadia Original 300g,"R$ 9,99",Sadia,Petiscos E Empanados
Pão de Queijo Catupiry Tradicional Recheado Com Catupiry 390g,"R$ 21,99",Catupiry,Petiscos E Empanados
Nuggets Sadia Com Queijo 300g,"R$ 9,99",Sadia,Petiscos E Empanados
Pão de Queijo Forno de Minas 400g,"R$ 24,99",Forno De Minas,Petiscos E Empanados
Chicken Crispy Supreme Seara 300g,"R$ 9,99",Seara,Petiscos E Empanados
Chicken Crispy Seara Tradicional 300g,"R$ 9,99",Seara,Petiscos E Empanados
Nuggets Sadia Original 700g,"R$ 21,89",Sadia,Petiscos E Empanados
Pão de Queijo Uni Sabor Lanche 1kg,"R$ 18,99",Uni Sabor,Petiscos E Empanados
Kibe Seara Incrível 300g,"R$ 21,99",Seara,Petiscos E Empanados
Empanado de Frango Seara Presunto e Queijo 110g,"R$ 5,49",Seara,Petiscos E Empanados
Mini Coxinha Catupiry Frango Com Catupiry 300g,"R$ 22,99",Catupiry,Petiscos E Empanados
Empanado de Frango Seara Incrível 300g,"R$ 21,99",Seara,Petiscos E Empanados
Tirinhas de Frango Perdigão Tradicional 300g,"R$ 10,99",Perdigão,Petiscos E Empanados
Steak de Frango Recheado Perdigão 100g,"R$ 3,99",Perdigão,Petiscos E Empanados
Nuggets Tekitos Seara Queijo E Orégano 300g,"R$ 9,29",Tekitos,Petiscos E Empanados
Chicken Crispy Seara Provolone 300g,"R$ 9,99",Seara,Petiscos E Empanados
Mini Chicken Perdigão Frango Com Queijo 275g,"R$ 9,69",Perdigão,Petiscos E Empanados
Pão de Queijo Forno de Minas Coquetel Tradicional 820g,"R$ 35,99",Forno De Minas,Petiscos E Empanados
Empanado de Frango Seara Levíssimo Com Queijo 120g,"R$ 5,49",Seara,Petiscos E Empanados
Mini Chicken Perdigão Frango Tradicional 275g,"R$ 9,69",Perdigão,Petiscos E Empanados
Kibe Sadia 500g,"R$ 29,99",Sadia,Petiscos E Empanados
Kibe Seara 500g,"R$ 26,99",Seara,Petiscos E Empanados
Mini Kibe Catupiry Recheado Com Catupiry 300g,"R$ 22,89",Catupiry,Petiscos E Empanados
Pão de Queijo Forno de Minas Lanche 820g,"R$ 35,99",Forno De Minas,Petiscos E Empanados
Peito de Frango Empanado Em Tiras Sadia Temperado 400g,"R$ 22,99",Sadia,Petiscos E Empanados
Waffle Forno de Minas Integral Light 280g,"R$ 18,99",Forno De Minas,Petiscos E Empanados
Stick de Tilápia Empando Copacol 300g,"R$ 9,99",Copacol,Petiscos E Empanados
Nuggets Tekitos Seara Frango 1kg,"R$ 25,99",Tekitos,Petiscos E Empanados
