Nome,Preço,Marca,Categoria,Preço_02-05-2025,Preço_10-04-2025,Preço_13-04-2025,Preço_24-04-2025,Preço_30-04-2025
Abacate KG,"R$ 5,99",Pague Menos,Frutas,"R$ 5,99","R$ 7,99","R$ 7,99","R$ 7,99","R$ 5,99"
"Abacaxi Congelado Nuty 1,02kg","R$ 27,99",Nuty,Frutas Congeladas,"R$ 27,99","R$ 34,99","R$ 34,99","R$ 34,99","R$ 27,99"
Abacaxi Em Calda Tozzi 400g,"R$ 25,99",Tozzi,Doces,"R$ 25,99","R$ 25,99","R$ 25,99","R$ 25,99","R$ 25,99"
Abacaxi Pérola Unidade,"R$ 6,99",Pague Menos,Frutas,"R$ 11,99","R$ 11,99","R$ 11,99","R$ 11,99","R$ 6,99"
Abobrinha Em Conserva La Pastina 145g,"R$ 37,99",La Pastina,Conservas E Enlatados,"R$ 37,99","R$ 37,99","R$ 37,99","R$ 37,99","R$ 37,99"
Abobrinha Italiana 350g,"R$ 2,45",Pague Menos,Legumes,"R$ 2,45","R$ 2,80","R$ 2,69","R$ 2,76","R$ 2,45"
Abobrinha Italiana Bandeja 500g,"R$ 4,39",Pague Menos,Legumes,"R$ 4,39","R$ 4,39","R$ 4,39","R$ 4,39","R$ 4,39"
Abridor Inox Blister Para Latas e Garrafas,"R$ 9,99",S.P.F,Utensílios para Bar,"R$ 9,99","R$ 9,99","R$ 9,99","R$ 9,99","R$ 9,99"
Abridor Multifuncional Mix 13cm,"R$ 27,89",Mix,Utensílios para Bar,"R$ 27,89","R$ 27,89","R$ 27,89","R$ 27,89","R$ 27,89"
Abridor Para Vinho Safra Mundo,"R$ 16,99",Safra Mundo,Utensílios para Bar,"R$ 16,99","R$ 16,99","R$ 16,99","R$ 7,99","R$ 16,99"
Abridor de Garrafa Unilar Jacaré Nylon Inox Azul,"R$ 20,99",Uni Lar,Utensílios para Bar,"R$ 20,99","R$ 20,99","R$ 20,99","R$ 20,99","R$ 20,99"
Abridor de Lata Gourmet Mix Profissional 14cm,"R$ 14,99",Gourmet Mix,Utensílios para Bar,"R$ 14,99","R$ 14,99","R$ 14,99","R$ 14,99","R$ 14,99"
Abridor de Lata Lamar Reforçado,"R$ 8,99",Lamar,Utensílios para Bar,"R$ 8,99","R$ 8,99","R$ 8,99","R$ 8,99","R$ 8,99"
"Abridor de Latas Colecionável Moda do Chef Gourmet Mix Essencialy 19,5cm",,Gourmet Mix,Utensílios para Bar,,0,0,,
Absorvente Always Cobertura Suave XG Com Abas Com 32 Unidades,"R$ 39,99",Always,Cuidado Íntimo,"R$ 39,99","R$ 32,15","R$ 32,15","R$ 39,99","R$ 39,99"
Absorvente Always Cobertura Suave XG Com Abas Suave Com 8 Unidades,"R$ 14,49",Always,Cuidado Íntimo,"R$ 14,49","R$ 11,69","R$ 11,69","R$ 14,49","R$ 14,49"
Absorvente Always Noites Tranquilas Seca Com Abas 32 Unidades,"R$ 37,34",Always,Cuidado Íntimo,"R$ 37,34","R$ 29,90","R$ 29,90","R$ 37,34","R$ 37,34"
Absorvente Always Noites Tranquilas Seca Com Abas Com 8 Unidades,"R$ 11,49",Always,Cuidado Íntimo,"R$ 11,49","R$ 8,99","R$ 8,99","R$ 11,49","R$ 11,49"
Absorvente Always Noites Tranquilas Seca com abas 16 Unidades,"R$ 20,99",Always,Cuidado Íntimo,"R$ 20,99","R$ 15,99","R$ 15,99","R$ 20,99","R$ 20,99"
Absorvente Always Noites Tranquilas Suave Com Abas 16 Unidades,"R$ 20,99",Always,Cuidado Íntimo,"R$ 20,99","R$ 15,99","R$ 15,99","R$ 20,99","R$ 20,99"
Absorvente Always Noites Tranquilas Suave Com Abas 8 Unidades,"R$ 11,49",Always,Cuidado Íntimo,"R$ 11,49","R$ 8,99","R$ 8,99","R$ 11,49","R$ 11,49"
Absorvente Always Noturno Cobertura Suave Com Abas Com 32 Unidades,"R$ 37,34",Always,Cuidado Íntimo,"R$ 37,34","R$ 29,90","R$ 29,90","R$ 37,34","R$ 37,34"
Absorvente Always Noturno Cobertura Suave Com Abas Com 48 Unidades,"R$ 55,90",Always,Cuidado Íntimo,"R$ 55,90","R$ 44,69","R$ 44,69","R$ 55,90","R$ 55,90"
Absorvente Always Noturno Ultrafino Com Abas Com 8 Unidades,"R$ 13,99",Always,Cuidado Íntimo,"R$ 13,99","R$ 13,99","R$ 13,99","R$ 13,99","R$ 13,99"
Absorvente Always Super Proteção Seca Com Abas 16 Unidades,"R$ 9,99",Always,Cuidado Íntimo,"R$ 9,99","R$ 9,99","R$ 9,99","R$ 9,99","R$ 9,99"
Absorvente Always Super Proteção Seca Com Abas 32 Unidades,"R$ 19,79",Always,Cuidado Íntimo,"R$ 19,79","R$ 19,79","R$ 19,79","R$ 19,79","R$ 19,79"
Absorvente Always Super Proteção Seca Com Abas 8 Unidades,"R$ 5,59",Always,Cuidado Íntimo,"R$ 5,59","R$ 5,59","R$ 5,59","R$ 5,59","R$ 5,59"
Absorvente Always Super Proteção Seca Sem Abas 8 Unidades,"R$ 5,59",Always,Cuidado Íntimo,"R$ 5,59","R$ 5,59","R$ 5,59","R$ 5,59","R$ 5,59"
Absorvente Always Super Proteção Suave Com Abas 16 Unidades,"R$ 9,99",Always,Cuidado Íntimo,"R$ 9,99","R$ 9,99","R$ 9,99","R$ 9,99","R$ 9,99"
Absorvente Always Super Proteção Suave Com Abas 32 Unidades,"R$ 19,79",Always,Cuidado Íntimo,"R$ 19,79","R$ 19,79","R$ 19,79","R$ 19,79","R$ 19,79"
Absorvente Always Super Proteção Suave Com Abas 8 Unidades,"R$ 5,59",Always,Cuidado Íntimo,"R$ 5,59","R$ 5,59","R$ 5,59","R$ 5,59","R$ 5,59"
