Nome,Preço,Marca,Categoria
Empanado Big Chicken Perdigão Com Queijo KG,"R$ 27,90",Perdigão,Petiscos E Empanados
Filezinho de Frango Empanado 250g,"R$ 7,50",Leve Mais,Petiscos E Empanados
Pão de Queijo Forno de Minas Tradicional 400g,"R$ 21,49",Forno De Minas,Petiscos E Empanados
Nuggets Sadia Crocante 300g,"R$ 10,29",Sadia,Petiscos E Empanados
Steak de Frango Seara Tradicional 100g,"R$ 2,19",Seara,Petiscos E Empanados
Steak de Frango Perdigão 100g,"R$ 2,49",Perdigão,Petiscos E Empanados
Pão de Queijo Forno de Minas Coquetel 400g,"R$ 21,49",Forno De Minas,Petiscos E Empanados
Pão de Queijo Forno de Minas Waffle Air Fryer 200g,"R$ 15,59",Forno De Minas,Petiscos E Empanados
Pão de Queijo Uni Sabor Tradicional 400g,"R$ 7,59",Uni Sabor,Petiscos E Empanados
Nuggets Tekitos Seara Tradicional 300g,"R$ 9,69",Tekitos,Petiscos E Empanados
Steak de Frango Sadia 100g,"R$ 2,39",Sadia,Petiscos E Empanados
Waffle Forno de Minas Tradicional 280g,"R$ 18,99",Forno De Minas,Petiscos E Empanados
Nuggets Sadia Original 300g,"R$ 10,29",Sadia,Petiscos E Empanados
Pão de Queijo Catupiry Tradicional Recheado Com Catupiry 390g,"R$ 20,99",Catupiry,Petiscos E Empanados
Nuggets Sadia Com Queijo 300g,"R$ 10,29",Sadia,Petiscos E Empanados
Pão de Queijo Forno de Minas 400g,"R$ 24,99",Forno De Minas,Petiscos E Empanados
Chicken Crispy Supreme Seara 300g,"R$ 10,49",Seara,Petiscos E Empanados
Chicken Crispy Seara Tradicional 300g,"R$ 10,49",Seara,Petiscos E Empanados
Nuggets Sadia Original 700g,"R$ 21,89",Sadia,Petiscos E Empanados
Pão de Queijo Uni Sabor Lanche 1kg,"R$ 18,99",Uni Sabor,Petiscos E Empanados
Kibe Seara Incrível 300g,"R$ 21,99",Seara,Petiscos E Empanados
Empanado de Frango Seara Presunto e Queijo 110g,"R$ 5,49",Seara,Petiscos E Empanados
Mini Coxinha Catupiry Frango Com Catupiry 300g,"R$ 21,99",Catupiry,Petiscos E Empanados
Empanado de Frango Seara Incrível 300g,"R$ 21,99",Seara,Petiscos E Empanados
Tirinhas de Frango Perdigão Tradicional 300g,"R$ 10,99",Perdigão,Petiscos E Empanados
Steak de Frango Recheado Perdigão 100g,"R$ 3,99",Perdigão,Petiscos E Empanados
Nuggets Tekitos Seara Queijo E Orégano 300g,"R$ 9,69",Tekitos,Petiscos E Empanados
Chicken Crispy Seara Provolone 300g,"R$ 10,49",Seara,Petiscos E Empanados
Empanado de Frango Seara Levíssimo Com Queijo 120g,"R$ 5,49",Seara,Petiscos E Empanados
Pão de Queijo Forno de Minas Coquetel Tradicional 820g,"R$ 37,99",Forno De Minas,Petiscos E Empanados
Mini Chicken Perdigão Frango Com Queijo 275g,"R$ 10,59",Perdigão,Petiscos E Empanados
Mini Chicken Perdigão Frango Tradicional 275g,"R$ 10,59",Perdigão,Petiscos E Empanados
Kibe Sadia 500g,"R$ 29,99",Sadia,Petiscos E Empanados
Kibe Seara 500g,"R$ 26,99",Seara,Petiscos E Empanados
Mini Kibe Catupiry Recheado Com Catupiry 300g,"R$ 21,98",Catupiry,Petiscos E Empanados
Pão de Queijo Forno de Minas Lanche 820g,"R$ 37,99",Forno De Minas,Petiscos E Empanados
Peito de Frango Empanado Em Tiras Sadia Temperado 400g,"R$ 22,99",Sadia,Petiscos E Empanados
Stick de Tilápia Empanado Copacol 300g,"R$ 13,99",Copacol,Petiscos E Empanados
Waffle Forno de Minas Integral Light 280g,"R$ 18,99",Forno De Minas,Petiscos E Empanados
Nuggets Tekitos Seara Frango 1kg,"R$ 25,99",Tekitos,Petiscos E Empanados
Pão de Queijo Tirolez 3 Queijos 300g,"R$ 22,99",Tirolez,Petiscos E Empanados
Pão de Queijo Tirolez Tradicional 300g,"R$ 18,99",Tirolez,Petiscos E Empanados
Chipa Congelada Forno De Minas 800g,"R$ 29,90",Forno De Minas,Petiscos E Empanados
Iscas de Frango Seara Levemente Apimentadas 300g,"R$ 15,99",Seara,Petiscos E Empanados
Pão de Queijo Tirolez Recheado Com Requeijão 300g,"R$ 21,99",Tirolez,Petiscos E Empanados
Pão de Queijo Catupiry Recheado Com Goiabada e Catupiry 300g,"R$ 19,99",Catupiry,Petiscos E Empanados
Mini Coxinha de Frango Freskimassas Congelada 400g,"R$ 11,49",Freskimassas,Petiscos E Empanados
Coxinha da Asa Seara Tradicional Empanada 400g,"R$ 17,99",Seara,Petiscos E Empanados
Pão de Queijo Catupiry Recheado Com Calabresa e Catupiry 300g,"R$ 19,99",Catupiry,Petiscos E Empanados
Pão de Queijo Brasa Burguer Coquetel 1kg,"R$ 13,69",Brasa Burguer,Petiscos E Empanados
Waffle Forno de Minas Chocolate 280g,"R$ 18,99",Forno De Minas,Petiscos E Empanados
Polenta Palito Bem Brasil 300g,"R$ 5,99",Bem Brasil,Petiscos E Empanados
Pão de Queijo Forno De Minas Air Fryer Receita Caseira 400g,"R$ 19,89",Forno De Minas,Petiscos E Empanados
Chipa de Queijo Uni Sabor 300g,"R$ 8,49",Uni Sabor,Petiscos E Empanados
Mini Kibe Vegetal Fazenda Futuro Party 240g,"R$ 27,99",Fazenda Futuro,Petiscos E Empanados
Empanado Franguito Vegetal Fazenda Futuro Party 240g,"R$ 28,99",Fazenda Futuro,Petiscos E Empanados
Empanado de Requeijão Catupiry Original 300g,"R$ 23,99",Catupiry,Petiscos E Empanados
Mini Bolinho Catupiry Carne Seca Com Catupiry 300g,"R$ 21,99",Catupiry,Petiscos E Empanados
Pão de Queijo Uni Sabor Recheado Com Requeijão 300g,"R$ 14,99",Uni Sabor,Petiscos E Empanados
Peito de Frango Sadia Em Tiras Empanado 400g,"R$ 22,99",Sadia,Petiscos E Empanados
Empanado de Frango Tekitos Tradicional 900g,"R$ 26,99",Tekitos,Petiscos E Empanados
Bolinho Brazilian Fish Recheado Com Tilápia 400g,"R$ 22,89",Brazilian Fish,Petiscos E Empanados
Pastel de Queijo Aurora Com 20 Unidades,"R$ 17,59",Aurora,Petiscos E Empanados
Mini Kibe Freskimassas Congelado 400g,"R$ 11,49",Freskimassas,Petiscos E Empanados
Croissant de Frango Catupiry 360g,"R$ 31,99",Catupiry,Petiscos E Empanados
Pão de Queijo Uni Sabor Lanche 2kg,"R$ 35,99",Uni Sabor,Petiscos E Empanados
Empanado de Frango Sadia Pop Nuggets 275g,"R$ 11,89",Sadia,Petiscos E Empanados
Empanado de Frango Tekitos Queijo Com Orégano 900g,"R$ 26,99",Tekitos,Petiscos E Empanados
Filezinho de Frango Sadia Sassami Empanado 400g,"R$ 17,99",Sadia,Petiscos E Empanados
Coxinha da Asa Seara Apimentada Empanada 400g,"R$ 17,99",Seara,Petiscos E Empanados
Trouxinha de Tilápia Brazilian Fish Congelado 400g,"R$ 21,99",Brazilian Fish,Petiscos E Empanados
Mini Enroladinho Freskimassas Presunto e Queijo Congelado 400g,"R$ 11,49",Freskimassas,Petiscos E Empanados
Pão de Queijo Brasa Burguer Tradicional 1kg,"R$ 25,99",Brasa Burguer,Petiscos E Empanados
Pão de Queijo Uni Sabor Recheado Com Goiaba 300g,"R$ 14,99",Uni Sabor,Petiscos E Empanados
Pipoquinha de Frango Seara Air Fryer 275g,"R$ 16,99",Seara,Petiscos E Empanados
Iscas de Peixe Vivenda Empanadas 200g,"R$ 26,99",Vivenda,Petiscos E Empanados
Mini Hot Dog Coreano Seara Air Fryer 245g,"R$ 18,99",Seara,Petiscos E Empanados
Coxinha Com Tilápia Brazilian Fish Congelada 400g,"R$ 22,89",Brazilian Fish,Petiscos E Empanados
Mini Pão de Queijo Catupiry Pop Cheese 390g,"R$ 21,49",Catupiry,Petiscos E Empanados
Empanado de Frango Sadia Queijo Nacho Xtreme 275g,"R$ 13,79",Sadia,Petiscos E Empanados
