Nome,Preço,Marca,Categoria
Peito de Frango Sem Osso Congelado Pacote KG,"R$ 19,99",Leve Mais,Aves
Coxa Com Sobrecoxa de Frango Resfriada KG,"R$ 15,99",Pague Menos,Aves
Peito de Frango Com Osso Resfriado KG,"R$ 17,99",Leve Mais,Aves
Coxa Com Sobrecoxa Congelada Pacote KG,"R$ 11,99",Pague Menos,Aves
Coxinha da Asa de Frango KG,"R$ 18,99",Pague Menos,Aves
Sobrecoxa de Frango Congelada KG,"R$ 16,99",Leve Mais,Aves
Coxa Com Sobrecoxa de Frango Sem Osso KG,"R$ 18,99",Pague Menos,Aves
Peito de Frango Sem Osso Resfriado KG,"R$ 27,99",Leve Mais,Aves
Frango Inteiro Resfriado KG,"R$ 7,99",Leve Mais,Aves
Tulipa de Frango Congelada KG,"R$ 29,99",Leve Mais,Aves
Asa de Frango Resfriada KG,"R$ 18,99",Leve Mais,Aves
Coxa Com Sobrecoxa de Frango Temperada Sem Osso KG,"R$ 14,99",Leve Mais,Aves
Pé de Frango Congelado 500g,"R$ 5,00",Leve Mais,Aves
Fígado de Frango Congelado 500g,"R$ 3,49",Leve Mais,Aves
Moela de Frango Congelada KG,"R$ 14,99",Leve Mais,Aves
Coxinha da Asa de Frango Temperada KG,"R$ 14,99",Leve Mais,Aves
Frango A Passarinho Temperado Resfriado KG,"R$ 19,99",Leve Mais,Aves
Tulipa de Frango Temperada Resfriada KG,"R$ 24,99",Leve Mais,Aves
Peito de Frango Sassami Temperado Resfriado KG,"R$ 29,99",Leve Mais,Aves
Coração de Frango Congelado 500g,"R$ 19,99",Leve Mais,Aves
Peito de Frango Com Osso Sem Pele KG,"R$ 22,49",Pague Menos,Aves
Pé de Frango 500g,"R$ 5,00",Pague Menos,Aves
Filezinho de Frango Empanado 250g,"R$ 6,75",Leve Mais,Aves
Coxa Com Sobrecoxa de Frango Temperada Na Mostarda Com Cebola KG,"R$ 14,99",Leve Mais,Aves
Coxa Com Sobrecoxa de Frango Temperada Na Mostarda Com Ervas KG,"R$ 14,99",Leve Mais,Aves
Frango Galeto Sadia Congelado KG,"R$ 26,99",Sadia,Aves
Asa de Frango Temperada Resfriada KG,"R$ 19,99",Leve Mais,Aves
Frango Galeto Seara Congelado KG,"R$ 13,99",Seara,Aves
Filé de Peito de Frango Sadia Congelado 1kg,"R$ 25,99",Sadia,Aves
Filezinho de Frango Sassami Sadia Congelado 1kg,"R$ 23,99",Sadia,Aves
Filé de Peito de Frango Seara Congelado 1kg,"R$ 25,99",Seara,Aves
Sobrecoxa de Frango Sadia Congelada 1kg,"R$ 16,99",Sadia,Aves
Coxinha da Asa de Frango Sadia Congelada 1kg,"R$ 18,99",Sadia,Aves
Sobrecoxa de Frango Seara Congelada 1kg,"R$ 15,99",Seara,Aves
Peito de Frango Sadia Desfiado Congelado 400g,"R$ 24,59",Sadia,Aves
Filé de Peito de Frango Sadia Bio Sem Osso 1kg,"R$ 28,99",Sadia,Aves
Coxa de Frango Sadia Congelada 1kg,"R$ 14,99",Sadia,Aves
Peito de Frango Desfiado Seara 400g,"R$ 19,89",Seara,Aves
Sobrecoxa de Frango Sadia Com Osso Temperado Congelada 800g,"R$ 14,89",Sadia,Aves
Filé de Peito de Frango Sadia Marinados Temperados 1kg,"R$ 29,99",Sadia,Aves
Peito de Frango Sadia Cubos Congelado 400g,"R$ 19,99",Sadia,Aves
Coxinha da Asa Empanada Sadia 400g,"R$ 15,99",Sadia,Aves
Filé de Peito de Frango Perdigão Congelado 800g,"R$ 21,99",Perdigão,Aves
Frango Desfiado Pronto Cozido No Vapor 400g,"R$ 28,99",Vapza,Aves
Peito de Frango Empanado Em Tiras Sadia Temperado 400g,"R$ 22,99",Sadia,Aves
Frango A Passarinho Sadia Temperado Congelado 1kg,"R$ 17,99",Sadia,Aves
Peito de Frango Sadia Temperado Cozidos Em Cubos 400g,"R$ 24,99",Sadia,Aves
Filezinho de Frango Empanado Seara 400g,"R$ 17,99",Seara,Aves
Sobrecoxa de Frango Perdigão 800g,"R$ 14,99",Perdigão,Aves
Filezinho de Peito de Frango Seara Da Granja 1kg,"R$ 26,99",Seara,Aves
Frango Vegetal Em Tiras Fazenda Futuro 200g,"R$ 21,49",Fazenda Futuro,Aves
Filé de Peito de Frango Korin Congelado 600g,"R$ 24,99",Korin,Aves
Peito de Frango Sadia Temperado Cozido Em Tiras 400g,"R$ 23,99",Sadia,Aves
Sobrecoxa de Frango Korin Congelada 600g,"R$ 14,99",Korin,Aves
Coxinha da Asa Seara Congelada 1kg,"R$ 13,99",Seara,Aves
Filé de Peito de Frango Seara Da Granja 1kg,"R$ 27,99",Seara,Aves
Filé de Peito de Frango Em Bifes Sadia Congelado 1kg,"R$ 29,99",Sadia,Aves
Iscas de Frango Seara Tradicional 300g,"R$ 15,99",Seara,Aves
Iscas de Frango Seara Levemente Apimentadas 300g,"R$ 15,99",Seara,Aves
Peito de Frango Desfiado Aurora Cozido e Temperado 360g,"R$ 21,49",Aurora,Aves
Coxinha da Asa de Frango Perdigão Drumete 800g,"R$ 17,99",Perdigão,Aves
Frango A Passarinho Sadia Congelado 1kg,"R$ 15,99",Sadia,Aves
Coxinha da Asa Seara Tradicional Empanada 400g,"R$ 17,99",Seara,Aves
Frango a Passarinho Seara Congelado 1kg,"R$ 14,99",Seara,Aves
Meio da Asa de Frango Sadia Congelado 1kg,"R$ 25,99",Sadia,Aves
Moela de Frango Perdigão Congelado 1kg,"R$ 12,99",Perdigão,Aves
"Sobrecoxa Perdigão Assa Fácil Temperada 1,2kg","R$ 19,99",Perdigão,Aves
Petisco Frango de Padaria Seara Temperado 1kg,"R$ 17,08",Seara,Aves
Meio da Asa de Frango Seara 1kg,"R$ 27,99",Seara,Aves
